Wyniki badania:
NUMER PROBY,EKSPERYMENT,CZAS REAKCJI,ZGODNOSC,BODZIEC,REAKCJA,BLOK
1,True,0.4517258000560105,1,858,1,normalny
2,True,0,0,602,0,normalny
3,True,0,0,582,0,normalny
4,True,0,0,926,0,normalny
5,True,0,0,874,0,normalny
6,True,0,0,138,0,normalny
7,True,0,0,94,0,normalny
8,True,0,1,517,0,normalny
9,True,0,1,483,0,normalny
10,True,0,1,905,0,normalny
11,True,0,0,8,0,normalny
12,True,0,0,266,0,normalny
13,True,0,0,546,0,normalny
14,True,0,1,673,0,normalny
15,True,0,0,106,0,normalny
16,True,0,0,870,0,normalny
17,True,0,0,684,0,normalny
18,True,0,1,767,0,normalny
19,True,0,0,942,0,normalny
20,True,0,1,905,0,normalny
21,True,0,1,281,0,normalny
22,True,0,0,180,0,normalny
23,True,0,1,745,0,normalny
24,True,0,0,106,0,normalny
25,True,0,1,193,0,normalny
1,True,0,1,855,0,szybki
2,True,0,0,150,0,szybki
3,True,0,0,40,0,szybki
4,True,0,0,368,0,szybki
5,True,0,0,158,0,szybki
6,True,0,0,304,0,szybki
7,True,0,1,797,0,szybki
8,True,0,1,539,0,szybki
9,True,0,1,25,0,szybki
10,True,0.3183474999386817,1,996,1,szybki
11,True,0.7755796000128612,1,604,1,szybki
12,True,0,0,616,0,szybki
13,True,0,0,470,0,szybki
14,True,0,1,383,0,szybki
15,True,0,1,131,0,szybki
16,True,0,1,409,0,szybki
17,True,0,0,670,0,szybki
18,True,0,0,117,1,szybki
19,True,0,1,301,0,szybki
20,True,0,0,399,1,szybki
21,True,0,0,959,1,szybki
22,True,0.5455950000323355,1,318,1,szybki
23,True,0,0,28,0,szybki
24,True,0,0,329,1,szybki
25,True,0,0,766,0,szybki
1,True,0.5021631000563502,1,404,1,szybki
2,True,0.50139439990744,1,350,1,szybki
3,True,0,0,309,1,szybki
4,True,0,1,967,0,szybki
5,True,0,0,702,0,szybki
6,True,0,0,346,0,szybki
7,True,0,0,410,0,szybki
8,True,0,1,5,0,szybki
9,True,0,0,370,0,szybki
10,True,0,0,185,1,szybki
11,True,0.535091899917461,1,198,1,szybki
12,True,0.7283063000068069,1,736,1,szybki
13,True,0,0,567,1,szybki
14,True,0.7343840999528766,1,812,1,szybki
15,True,0.5949855999788269,1,660,1,szybki
16,True,0,1,979,0,szybki
17,True,0,1,177,0,szybki
18,True,0,0,154,0,szybki
19,True,0.5238882000558078,1,86,1,szybki
20,True,0,0,300,0,szybki
21,True,0.43891859997529536,1,764,1,szybki
22,True,0,1,89,0,szybki
23,True,0.6859985999763012,1,658,1,szybki
24,True,0.6951595999998972,1,768,1,szybki
25,True,0,0,500,0,szybki
1,True,0,0,381,1,szybki
2,True,0,1,431,0,szybki
3,True,0.6930065000196919,1,662,1,szybki
4,True,0.540208600112237,1,120,1,szybki
5,True,0,0,859,1,szybki
6,True,0.4863372999243438,1,526,1,szybki
7,True,0.4964186000870541,1,850,1,szybki
8,True,0.3207364999689162,1,600,1,szybki
9,True,0,0,447,1,szybki
10,True,0,0,838,0,szybki
11,True,0,1,573,0,szybki
12,True,0,0,480,0,szybki
13,True,0,0,764,0,szybki
14,True,0,0,548,0,szybki
15,True,0,0,738,0,szybki
16,True,0,1,337,0,szybki
17,True,0,1,271,0,szybki
18,True,0,1,831,0,szybki
19,True,0,0,476,0,szybki
20,True,0,0,144,0,szybki
21,True,0,1,239,0,szybki
22,True,0,1,633,0,szybki
23,True,0,1,459,0,szybki
24,True,0,0,424,0,szybki
25,True,0,1,563,0,szybki
